Species	Cluster	Strain	Accession	Paper
mdv	all	RB-1B	EF523390.1	https://www.ncbi.nlm.nih.gov/nuccore/EF523390.1
mdv	ancient	RB-1B	EF523390.1	https://www.ncbi.nlm.nih.gov/nuccore/EF523390.1
